,title,description,price,points,cluster_label,cosine_similarity
30693,Georges Duboeuf 2015 Flower Label  (Beaujolais),This is a bright and fruity wine with attractive red-cherry flavors and light tannins. It has crisp acidity and a fresh aftertaste. The wine is ready to drink.,15.0,84,3,0.7194613608298328
115149,Cave de Turckheim 2013 Tradition Pinot Blanc (Alsace),"This is a soft and fruity wine, bright with acidity and apple fruit flavors. It's light and crisp, an attractive wine that's ready to drink.",20.0,84,3,0.6959413369254155
56816,Domaine D'en Ségur 2012 Le Rosé Cabernet (Côtes du Tarn),"Made from both Cabernets, this light, fruity wine has attractive red-fruit flavors, refreshing acidity and a crisp, bright aftertaste. Ready to drink now.",13.0,85,3,0.6835709907791919
70880,Château Maupague 2016 Cabaret Rosé (Côtes de Provence),"This is an attractive, fruity wine. It has a soft character from the ripe red-fruit flavors that are well balanced with herbal acidity and a crisp aftertaste. The wine is ready to drink.",16.0,85,3,0.6573489018930843
25889,Château Lauduc 2013 Prestige  (Bordeaux Supérieur),"This is a fruity wine with red berry flavors and fresh acidity. It is crisp, light and ready to drink, with an attractive smoky aftertaste.",14.0,84,3,0.6490115427368601
59772,Etablissements Thunevin 2014 Domaine Virginie Thunevin  (Bordeaux),"With attractive red fruits and soft acidity, this is a fruity wine. It is ripe with a lively crisp texture. Produced by the daughter of Jean-Luc Thunevin of Saint-Emilion's Château Valandraud, the wine is bright and ready to drink.",13.0,87,3,0.6356334639545236
23235,Adega Cooperativa do Cartaxo 2015 Xairel Red (Tejo),"This is a soft fruity wine. It has attractive red-fruit flavors, very ripe fruit and light acidity at the end. The wine is ready to drink.",7.0,84,3,0.6174580025841341
85067,Patriarche Père et Fils 2015  Beaujolais,"Light tannins give this wine an attractive texture. It has bright cherry fruits along with glittering acidity. It's a fruity, fresh wine that is ready to drink.",12.0,85,3,0.6167361032779701
10122,Château Jussas 2014  Blaye Côtes de Bordeaux,"The Vignobles Bourdillas brothers' wine is fruity with black currant fruits and bright acidity. Fresh with a crisp texture and light tannins, it will be ready to drink by 2017.",20.0,87,3,0.6120253259737823
89911,Château Jussas 2014  Blaye Côtes de Bordeaux,"The Vignobles Bourdillas brothers' wine is fruity with black currant fruits and bright acidity. Fresh with a crisp texture and light tannins, it will be ready to drink by 2017.",20.0,87,3,0.6120253259737823
1470,Adega Cooperativa de Borba 2016 Adega de Borba Branco White (Alentejo),"Crisp, bright and fruity, this is a refreshing and ripe wine. With attractive citrus acidity and a bright aftertaste, the wine is ready to drink.",8.0,85,3,0.6098811993188221
59469,Cartuxa 2014 EA Tinto Red (Alentejano),"Rounded, smooth and fruity, this is an attractive wine. With its light texture and acidity that balance the juicy black fruits, it is ripe while also poised. The aftertaste is fresh and fruity.",9.0,86,3,0.6010496492335687
33400,Domaine Jacourette 2016 L'Ange et Luce Rosé (Côtes de Provence),The wine is light and fruity—properly crisp with attractive acidity. The red fruits shine through the light texture and touch of spice creates a bright wine full of final fruitiness.,17.0,88,3,0.5976216828849175
75229,Domaine Jacourette 2016 L'Ange et Luce Rosé (Côtes de Provence),The wine is light and fruity—properly crisp with attractive acidity. The red fruits shine through the light texture and touch of spice creates a bright wine full of final fruitiness.,17.0,88,3,0.5976216828849175
54257,José Maria da Fonseca 2009 Periquita Red (Setubal),"This attractive, soft and fresh wine is fruity, with red berry flavors, balanced acidity and warm tannins. With its light touch of spice, it is ready to drink.",10.0,87,3,0.5970131084095837
83719,José Maria da Fonseca 2009 Periquita Red (Setubal),"This attractive, soft and fresh wine is fruity, with red berry flavors, balanced acidity and warm tannins. With its light touch of spice, it is ready to drink.",10.0,87,3,0.5970131084095837
47881,Château Sainte Roseline 2013 Cuvée Lampe de Méduse Rolle (Côtes de Provence),"Soft and fresh, this fruity wine discloses attractive acidity as well as crisp red fruits. A light, bright texture makes it totally ready to drink, with a lift of acidity at the end.",30.0,87,3,0.592853226031669
6306,Bernier 2014 Chardonnay (Val de Loire),"This soft, tank-aged wine has attractive apple fruits, a touch of citrus and crisp acidity. Light and fruity, it is ready to drink.",12.0,84,3,0.5913402745336903
4109,Jose Maria Vieira 2014 Borges Quinta da Soalheira Red (Douro),"This is an easy, fruity wine. Soft and light in character, it has attractive red fruits and acidity. Drink this wine now.",8.0,85,3,0.5884942953041643
43446,Adega Cooperativa do Cartaxo 2014 Xairel Red (Tejo),"The wine is soft, fruity and with its light tannins and fresh red berry fruits, it is ready to drink. The aftertaste has a fresh, bright finish. Drink now.",7.0,84,3,0.5786492669524586
67404,Patriarche Père et Fils 2016 Syrah Rosé (Vin de France),"This perfumed, spicy wine has crisp red fruit and acidity. Light and with a soft aftertaste, it's attractive and ready to drink.",10.0,84,3,0.5777709351710077
37597,Domaine Perraud 2016  Mâcon-Villages,"Bright and fruity, this wine is light, crisp and shot through with acidity. Lively and tangy, it's ready to drink now.",20.0,84,3,0.5748983245355171
63063,Producta Vignobles 2013 La Cabanne aux Oiseaux Rosé (Bordeaux Rosé),"This is attractively fruity, crisp and perfumed. With red currant fruits and refreshing acidity, it's fresh and light in character. Drink now.",13.0,84,3,0.57454005745253
30317,Fabre en Provence 2015 Château Saint-Honoré Rosé (Côtes de Provence La Londe),"Cinsault, at 53%, is the major player in this soft, tangy wine. It has a good balance of red fruits, citrus acidity and crisp apple. The wine is ripe, poised with an attractively fruity aftertaste.",18.0,86,3,0.5736148077611665
20989,Le Cercle des Vignerons Saint-Louis 2014 Lumière de Provence Rosé (Coteaux Varois en Provence),"This is a soft and fruity wine, ripe with red-berry fruits and perfumed acidity. A light touch of caramel and tannin give the right structure, and the aftertaste is bright and fruity.",14.0,86,3,0.5717707927566118
22452,Domaine de l'Idylle 2015 Cruet Jacquère (Savoie),"Crisp and fruity, this bright wine is full of lively acidity, tangy citrus and apple fruit and refreshing acidity. It is ready to drink.",16.0,88,3,0.570591546013959
33537,Domaine de l'Idylle 2015 Cruet Jacquère (Savoie),"Crisp and fruity, this bright wine is full of lively acidity, tangy citrus and apple fruit and refreshing acidity. It is ready to drink.",16.0,88,3,0.570591546013959
71012,Conceito Vinhos 2016 Contraste Branco White (Douro),"This is a fruity wine, crisp with citrus acidity and bright with light minerality and zest. It is a refreshing wine with an attractive sliced apple and melon aftertaste. Drink this lively wine now.",19.0,88,3,0.5703620841069886
54312,Perescuma 2015 Terra Brava Red (Alentejano),"This is an attractive, fruity wine that has soft tannins and ripe fruit. Berry flavors and a full-bodied fruitiness are right up front, while the aftertaste has crisp acidity. Drink Now.",10.0,86,3,0.5701162193193868
13329,Estandon 2016 Lumière de Provence Rosé (Coteaux Varois en Provence),"This is a refreshingly fruity wine with a fine balance between acidity and ripe red-currant and raspberry fruits. The wine is crisp, clean and full of fruitiness with a bright fresh aftertaste. Drink now.",13.0,87,3,0.5694937852467737
106919,Domaine Chevillon-Chezeaux 2014 Les Maladières  (Bourgogne),"Light tannins and attractive red-berry fruits give this wine its instant appeal. It is soft, fruity, with a juicy, crisp aftertaste. Drink now.",25.0,86,3,0.568401574248695
49296,Domaine Poli 2016 Sciaccarellu-Niellucciu Rosé (Ile de Beauté),"This blend of Sciaccarellu and Niellucciu is delicious and light—full of refreshing red currant flavors and crisp acidity. It's bright, fruity and ready to drink.",16.0,87,3,0.5683404430414082
8847,Louis Latour 2015 Les Pierres Dorées  (Coteaux Bourguignons),"Pure Pinot Noir from the south of Beaujolais, this is soft, fruity and with attractive acidity. Red fruits and a crisp acidity give this wine its bright character. Ready to drink now.",25.0,86,3,0.5683230342234755
98154,Château de Pizay 2012  Régnié,"From the light 2012 vintage, this is a bright and fruity wine with red cherries and soft tannins. Intense acidity gives the wine a fresh, crisp character. Drink now.",17.0,85,3,0.567224507259137
89639,Joseph Drouhin 2010 La Forêt  (Bourgogne),"Attractively ripe, this has fruity red-berry flavors along with acidity and soft tannins. This is ready to drink now.",17.0,87,3,0.5660426990176022
97852,Clos des Rocs 2012 Clos des Rocs Monopole  (Pouilly-Loché),"The wine is soft, fruity and ready to drink, with attractive fruitiness, soft acidity and a touch of wood. With a crisp aftertaste, it offers freshness as well.",36.0,86,3,0.5654999999861908
27804,Château Haut Mouleyre 2015  Bordeaux,"Balanced and fruity, this is a crisp wine that has soft tannins. With its bright black-currant fruit, acidity, and touch of spice, it is ready to drink.",13.0,85,3,0.564298778383858
68346,Quinta do Casal Branco 2011 Terra de Lobos Red (Tejo),"This is a forward, ripe and fruity wine that's full of fresh red fruits and attractive acidity. Made from a blend of Castelão, Trincadeira and Cabernet Sauvignon, it's light, bright and ready to drink.",8.0,86,3,0.5633004165678303
66774,Château de Brigue 2016 Brigue Vin de Provence Rosé (Côtes de Provence),"This is a lightly fruity wine with attractive acidity and citrus and apricot flavors. It is light and lively, fresh and crisp. There is a just a touch of spice and pepper at the end. Drink now.",10.0,84,3,0.5626979312048134
111048,Château de Brigue 2016 Brigue Vin de Provence Rosé (Côtes de Provence),"This is a lightly fruity wine with attractive acidity and citrus and apricot flavors. It is light and lively, fresh and crisp. There is a just a touch of spice and pepper at the end. Drink now.",10.0,84,3,0.5626979312048134
32532,Château Castel des Maures 2014 Cuvée Jeanne Rosé (Côtes de Provence),"This is an immediately attractive, fruity wine. Crisp acidity cuts through the red currant and berry fruits to give a light and refreshing wine that has a tight, mineral aftertaste.",15.0,88,3,0.5569339675891163
27471,Domaines Devillard 2010 Le Renard  (Givry),"Light, bright and fruity, this has soft tannins, plenty of red fruits and balancing acidity. Just dry to finish, it is ready to drink now.",22.0,85,3,0.5567826006241596
40122,Domaines Devillard 2010 Le Renard  (Givry),"Light, bright and fruity, this has soft tannins, plenty of red fruits and balancing acidity. Just dry to finish, it is ready to drink now.",22.0,85,3,0.5567826006241596
86742,Nadine et Maurice Guerrin 2014  Pouilly-Fuissé,"Fresh, fruity and with a tight texture, this attractive wine has crisp acidity, lemon and lime flavors, and a juicy aftertaste. Drink now.",35.0,85,3,0.5554705155054738
110522,Domaine Daniel Reverdy et Fils 2014  Sancerre,"Light, bright and fresh, this wine is ready to drink. Crisp apple and lemon flavors are lifted by tangy acidity. Juicy and very fruity it has a perfumed aftertaste.",24.0,86,3,0.5527859760866282
32955,Global Wines 2014 Casa de Santar Red (Dão),"This estate wine is soft, smooth and ready to drink. With its ripe red fruits and gentle tannins it is a fruity, generous wine, rich in juicy acidity and with a crisp aftertaste of acidity. Drink now.",12.0,88,3,0.5521887082829856
