,title,description,price,points,cluster_label,cosine_similarity,price_bin
80141,Ormanni 2010 Etichetta Storica Gran Selezione  (Chianti Classico),"This opens with a classic Sangiovese fragrance of crushed violet, blue iris, perfumed berry, underbrush and baking spice with a whiff of leather and menthol. Structured but elegant, the palate offers crunchy red cherry, juicy raspberry, white pepper clove and savory herb alongside a tannic backbone and fresh acidity. It has great aging potential. Drink 2016–2030.",45.0,95,4,0.47461185883835866,above 40
40696,Guido Porro 2011 Lazzairasco  (Barolo),"Fresh scents of just-picked rose, bright red berry, baking spice, leather and an earthy hint of game unfold on this stunning wine. The full-bodied palate offers juicy mature cherry, crushed raspberry, licorice, carob, chopped wild mint and clove alongside firm, velvety tannins and bright acidity. Gorgeous!",46.0,95,4,0.4663290376544479,above 40
13594,Il Colle 2010  Brunello di Montalcino,"A few minutes in the glass releases quintessential Sangiovese aromas of ripe dark-skinned berry, underbrush, baking spice, tobacco, leather and a floral note. The elegant, balanced palate doles out juicy Morello cherry, crushed raspberry, cinnamon and white pepper alongside polished, velvety tannins and fresh acidity. It's already almost accessible but also shows staying power. Drink from 2018 through 2025.",46.0,95,4,0.4665349982572544,above 40
39813,Gianni Brunelli 2011  Brunello di Montalcino,"Classic Sangiovese aromas of tilled soil, wild berry, new leather and chopped Mediterranean herb lead the nose along with a whiff of blue flower. The delicious, chewy palate doles out juicy Marasca cherry, black raspberry, baking spice and star anise framed in youthfully assertive but ripe tannins. Drink 2019–2029.",56.0,95,4,0.4834094273287165,above 40
42818,Cantina Fratelli Pardi 2010 Sacrantino  (Montefalco Sagrantino),"Blue flower, moist soil, leather, game, ripe dark berry and graphite are just some of the aromas of this powerfully structured, delicious wine. The palate delivers layers of juicy black cherry, blackberry, raspberry, white pepper and clove alongside youthfully assertive but ripe tannins. Drink 2017–2030.",60.0,95,4,0.4669989893134765,above 40
88982,Abbadia Ardenga 2012 Vigna Piaggia  (Brunello di Montalcino),"Here's a delicious red that opens with appealing ripe plum, blue flower, tobacco and baking spice aromas. Velvety tannins and fresh acidity provide structure and balance, while while juicy black cherry, raspberry compote and licorice flavors envelope the palate. Drink 2019–2032.",65.0,95,4,0.46983208514579006,above 40
14791,Germano Ettore 2013 Cerretta  (Barolo),"New leather, red berry, tobacco and menthol are some of the aromas you'll find in this powerfully structured but elegant wine. The firm palate delivers juicy Marasca cherry, raspberry compote, licorice and cinnamon flavors framed by noble, fine-grained tannins and bright acidity. Drink 2025–2045.",75.0,95,4,0.45978567973062867,above 40
107184,Pio Cesare 2013  Barolo,"This stunning wine opens with classic Nebbiolo aromas of underbrush, new leather, blue flower and dark berry along with a whiff of menthol. The radiant savory palate delivers juicy Marasca cherry, crushed raspberry, clove and star anise framed in noble tannins and bright acidity. It's tempting now but will continue to unwind and develop complexity for years to come. Drink 2023–2043.",77.0,95,4,0.45830239032378545,above 40
76251,Cavallotto 2012 Bricco Boschis  (Barolo),"Earthy aromas of underbrush, truffle, wild berry, blue flower and a whiff of new leather emerge on this stunning wine. The succulent, full-bodied palate shows ripe raspberry, black cherry, licorice, clove and grilled herb alongside firm but velvety tannins. Drink 2018–2024.",78.0,95,4,0.4911945353082682,above 40
85585,Le Gode 2012  Brunello di Montalcino,"Classic Sangiovese aromas of new leather, wild berry, baking spice and a whiff of menthol lead the way on this full-bodied red. It's juicy and delicious, delivering crushed raspberry, fleshy black cherry, cinnamon and pipe tobacco framed in polished and velvety tannins. Drink now through 2027.",80.0,95,4,0.4690860191927956,above 40
