,title,description,price,points,lda_label,3
98305,Viña Casablanca 2011 Nimbus Single Vineyard Sauvignon Blanc (Casablanca Valley),"Light and fresh up front, with lychee, passion fruit and wet stone aromas. Feels good and balanced as if offers a nice mix of textured fruit and minerally acidity. Flavors of green melon, passion fruit, lime and green herbs come straight from central casting. Perfect for summer drinking.",13.0,89,3,0.9716761628646314
72603,Apolloni 2007 Pinot Grigio (Willamette Valley),"Apolloni seems to be the first Oregon winery to take advantage of a change in the state's labeling laws allowing Pinot Grigio to be used; previously Pinot Gris was required. This is in fact much like a classic Italian Pinot Grigio, crisp and acidic, with sharply-defined citrus, melon and green apple fruit. Clean and refreshing, it carries a lovely floral note through the persistent finish.",17.0,89,3,0.9710598336880853
34997,Bonny Doon 2014 Gravitas White (California),"Grapefruit blossoms, scratched pink grapefruit skin and Granny Smith apples show on the delicate nose of this blend of 54% Sémillon, 43.5% Sauvignon Blanc and 2.5% Orange Muscat. It's light, bright and easy on the palate, with cut green apple and lime juice flavors, making it perfect to pair with plenty of lighter foods.",16.0,88,3,0.969925182984469
5296,Giornata 2015 Ramato Quattro Bassi Ranch Vineyard Pinot Grigio (San Luis Obispo),"This is a challenging wine, but it takes bravery to make Pinot Grigio like a red wine, using amphorae and terra cotta along the way. It's pink, but not a rose. Zesty aromas of tangerine, wet stone and grapefruit skins also show a bit of yeast. There is strong kumquat tang to the sip, which is fairly sour without the ripeness one might expect from the color.",35.0,88,3,0.9698179294702296
85635,Salomon-Undhof 2016 Stein a.d. Donau Riesling (Kremstal),"An aromatic nose suggests fresh green pear, a touch of yeast and both citrus flesh and foliage: think lemon and lime. The palate has a stonger impression of yeast, giving an almost-salty texture, with a bright lemon streak of freshness. It's taut, dry, slender and refreshing.",25.0,91,3,0.967470747227292
97495,Santa Carolina 2015 Reserva Sauvignon Blanc (Leyda Valley),"Aromas of passion fruit, grapefruit, lime and bell pepper are textbook for the region. This feels fresh as a whistle, with pyrazine-led bell pepper, green bean and lime flavors. Additional notes of bell pepper, with hints of white pepper drive the finish on this crisp, refreshing Sauvignon Blanc.",11.0,87,3,0.9674700556829264
73549,Château de Lancyre 2014 Rosé (Coteaux du Languedoc Pic Saint Loup),"This attractive rosé is always pleasing, as evidenced by pretty aromas of red cherry, strawberry, melon rind and soft sweet spice. The mouthfeel is light and vibrant, with mouthwatering acidity and bright red fruit and citrus flavors. The finish is short, but clean and refreshing. Drink now.",20.0,88,3,0.9669680305214975
104336,Dr. Konstantin Frank 2006 Dry Rosé (Finger Lakes),"Bright, clean flavors of cranberry and strawberry make this dry rosé easy on the palate and the wallet. There's a fruity kick on the nose followed by a dry but flavorful wave of flavors that seem perfect for a picnic or summertime sip under flapping sails. Pair this with seafood or poultry or experiment a little—its refreshing, crisp quality will play well with most foods.",15.0,87,3,0.9662670100575671
38496,Botalcura 2011 El Delirio Sauvignon Blanc (Maule Valley),"A touch green and vegetal on the nose, with hints of canned peas and bell pepper. Fortunately there's enough lime and minerality to keep it fresh. Feels crisp, tight and wet, with green notes pervading core citrus flavors. Finishes pithy and zesty, with mild bitterness.",9.0,85,3,0.9661816654060151
52736,Baehner Fournier 2013 Vogelzang Vineyard Sauvignon Blanc (Happy Canyon of Santa Barbara),"Very citrusy aromas of fresh squeezed lemons grow rounder with pear and nectarine flesh, all cut by a white rock minerality, without many of the typical grassy notes. The palate is very tight with lime juice and green apples, and driven by chalky grip and vibrant acidity.",25.0,88,3,0.9661006234617523
65994,Montes 2015 Spring Harvest Sauvignon Blanc (Leyda Valley),"Passion fruit, lettuce, grapefruit and tropical aromas get this Sauvignon Blanc off to a nice start. Zesty, speedy and super fresh on the palate, with blazing acidity, this tastes of passion fruit, green herbs and grass, especially on a racy, slightly pithy finish.",16.0,89,3,0.966073154173998
69075,Laetitia 2014 Brut Rosé Sparkling (Arroyo Grande Valley),"Extremely fresh and lively aromas of soft strawberry and lime pith combine to make a very racy edge to the nose of this bottling from the pioneering property, which was founded as a bubbly house in the early 1980s. There is great energy to the sip, where somewhat sour flavors of Ruby Red grapefruit rind give the wine lots of acidic length.",34.0,90,3,0.9659901411446918
114564,Dry Creek Vineyard 2000 Limited Edition DCVIII Fumé Blanc (Dry Creek Valley),"Wheat grass and hot peppers make for an intriguing if odd bouquet. A fair amount of vegetal flavor carries onto the palate—mostly green beans and some pickle. Fortunately, there is also a light tropical fruit background to the flavor profile, something reminiscent of papaya. Ultimately, however, this wine is characterized more by its vegetal character than bright, clean fruit.",18.0,86,3,0.9659835354502649
63757,Kiwi Cuvée 2015 Bin 086 Sauvignon Blanc (Vin de France),"Light scents of lime, white melon rind, green gooseberry and fresh-cut grass dance on the nose of this dainty white, followed by flavors of underripe pear and tart currant on the light-weight palate. It's fresh and lively, finishing short but clean. Drink up.",10.0,84,3,0.9659109697672842
27570,Hamelin Bay 2001 Sauvignon Blanc (Margaret River),"The bouquet starts off snappy and clean, but with time some pungent sea foam and green-bean aromas arise. Basic pear, melon and green herbs make up the flavor profile, while the short finish, though offering ample pepper and mineral, is lacking in fruit.",22.0,87,3,0.9658428902753426
10471,Luis Felipe Edwards 2013 Marea Sauvignon Blanc (Leyda Valley),"If you want to taste a true cool-climate SB with chiseled aromas and tons of cutting acidity, this is it. Aromas are lightly vegetal but also include citrus and passion fruit. Flavors of tangerine, passion fruit, rosemary and thyme finish citrusy and zesty. This is so linear it will cut through almost any kind of food.",25.0,90,3,0.9647578079873147
43048,Carr 2013 Sauvignon Blanc (Santa Ynez Valley),"Rather than pungent green aromas, this bottling tends toward a sweeter aromatic profile, with limeade, mandarin orange and tangerine scents. On the palate, there is a slight creaminess and a nod toward bell pepper, but the tart, bitter and acidic elements of apple and lime pith combine memorably.",18.0,90,3,0.964716036114858
73125,Undurraga 2012 T.H. Sauvignon Blanc (Casablanca Valley),"This Casablanca SB opens with crisp, dry, capped aromas of ocean foam, citrus and green herbs. It's true to form in the mouth, with nice acidity and citrusy zest. Flavors of citrus and green herbs are focused but pithy, while the finish is fresh, crisp and tastes of lime and thyme.",20.0,89,3,0.9646079571991337
