,title,description,price,points,cluster_label,cosine_similarity,price_bin
46003,D'Arenberg 2008 The Noble Wrinkled Riesling (McLaren Vale),"Lovely dessert-style Riesling at an extremely attractive price. It yields dried apricot aromas, then turns to honeyed marmalade in the mouth, just loaded with orange-apricot preserves. It's weighty and viscous, with a long, sweet finish. Should last through at least 2016.",19.0,94,6,0.9960939822705477,10-20
9646,Luis Duarte 2008 Rapariga da Quinta Reserva Red (Alentejano),"His skills show in this rich, powerful, finely balanced wine. It has layers of black berry fruits, damsons, bitter chocolate and a good core of acidity. Give this impressive wine 3–4 years.",23.0,94,6,0.9960939822705477,20-40
76422,Vinha Paz 2008 Reserva Red (Dão),"With its intense black color and perfumed aromas, this is a superb wine. The palate is firm, solid, still tannic, with the fruit just coming into balance. Nineteen months of wood aging has rounded the wine without dominating. Give this seriously ageworthy wine 5–6 years.",35.0,94,6,0.9960939822705477,20-40
25570,Poeira 2008 Red (Douro),"Wonderfully balanced and structured, this is a wine that gives a complete series of flavors from chocolate, black stone fruits, layers of wood and finally the essential acidity. Its texture is grainy, dusty, firm and ready to age for several years.",40.0,94,6,0.9960939822705477,20-40
49006,Quinta da Romaneira 2008 Tinto Red (Douro),"Since we last reviewed a vintage of Romaneira, with the 2005 wine, the estate has moved closer to realizing its potential. This is an impressive, powerful yet elegant wine. Its dark fruits are sustained by wood and leavened by acidity. It has a great sense of style and considerable aging potential.",40.0,94,6,0.9960939822705477,20-40
6037,Emmerich Knoll 2008 Ried Loibenberg Smaragd Grüner Veltliner (Wachau),"The Knoll Grüner style is for a hint of steel, doses of minerality and not too much ornateness despite the wonderfully elaborate traditional bottle labels. The intense fruit, spice and peach character is balanced by acidity, a taut, nervy edge. It will certainly age for 5–6 years.",50.0,94,6,0.9960939822705477,above 40
21353,Yalumba 2008 The Signature Cabernet Sauvignon-Shiraz (Barossa),"Always one of Yalumba's top offerings, the 2008 doesn't show any of the vintage's ill effects. Instead, this blend of Cabernet (56%) and Shiraz (44%) offers a rich, open-knit mouthful of chocomint and dark plum, underscored by savory, meaty notes. This is full bodied and supple, yet muscular, with at least a decade of cellaring potential.",54.0,94,6,0.9960939822705477,above 40
33386,Schloss Gobelsburg 2008 Heiligenstein Riesling (Kamptal),"Lovers of the purest mineral Riesling, very steely, will go crazy for this wine. It is tightly woven around a core of green and white fruits and the crispest, knife-edge sharp acidity. It is for aging, to produce a stunning wine in 4–5 years at a minimum.",54.0,94,6,0.9960939822705477,above 40
37523,Trapiche 2008 Viña Jorge Miralles Single Vineyard Malbec (Mendoza),"The best of the 2008 batch of Trapiche single-vineyard Malbecs is this one from Jorge Miralles' vineyard. Dark, smoky and elegant on the nose, with blackberry, cassis and toasty spice flavors. It's juicy, deep and balanced, with a long, sultry, smooth finish. Pure and showing nary a fault. Drink now through 2015.",55.0,94,6,0.9960939822705477,above 40
32097,Hans Igler 2008 Ab Ericio Red (Burgenland),"Blaufränkisch dominates this blend with Merlot and Zweigelt. This flagship wine from the Igler winery is powered by its perfumed fruit, cherry and red berry flavors, ripe and juicy at the same time. There is no question of the ageability of this concentrated, complex wine.",62.0,94,6,0.9960939822705477,above 40
