,title,description,price,points,lda_label,0
25165,Matthews 2007 Stillwater Creek Vineyard Sauvignon Blanc (Columbia Valley (WA)),"This vineyard-designated Sauv Blanc is half fermented in stainless steel, 40% in concrete eggs and the rest in French oak. It is completely different from the winery's Columbia Valley bottling, with much riper and rounder fruit flavors showing off stone fruits, such as peaches and apricots, along with tropical hints of papaya. There's plenty of stuffing and spice, and a perfect mix of the grape's innate herbaceous and grassy qualities, ramped up with riper, sweeter fruit.",30.0,91,0,0.9727202066096124
38155,Tantara 2014 Zotovich Vineyard Chardonnay (Sta. Rita Hills),"Squeezed lime, tangerine rind and juice and yellow-grapefruit zest show on the sharply citrusy nose of this bottling, which is expertly rounded out by white peach and chalk. Light stone-fruit flavors of nectarine and apple blossom show first on the palate, which is cut by lemon juice and green grapefruit, and warmed up with sea salt, toast and walnut-oil touches.",48.0,92,0,0.9718713148397983
24010,Ryan Cochrane 2014 Solomon Hills Vineyard Chardonnay (Santa Maria Valley),"Along with a fascinating nose, this bottling from the appellation's westernmost vineyard offers the rounded ripeness of cherimoya, nectarine and white peach but with a laser-sharp line of crushed sea shell and flint minerality alongside scratched lemon skin. The palate rides that chalky line the whole way, offering hints of lime pith, tangerine, sea salt and just enough almond warmth.",34.0,95,0,0.9689598997448121
32363,Felten Cellars 2012 Gewurztraminer (Paso Robles),"Extremely light in color, this dry wine has aromas that show Key lime pie, apple blossom and white rocks. It's tight and interesting on the bone-dry palate, with chipped chalk followed by apple tart, Bosc and Asian pear, lime juice and pith, and a dainty touch of honey on the finish. It's held together by strong but not bracing acidity.",15.0,92,0,0.9689595656867519
74747,Foxen 2010 Block UU Bien Nacido Vineyard Chardonnay (Santa Maria Valley),"You want decadence, opulence and fabulosity in your Chardonnay? This one's for you. It's tremendous in ripe pineapple, pear, peach, mango, lime, tangerine and papaya flavors. So much fruit, while the oak application is never heavy handed, applying just the right touch of buttered toast. Where does all that vanilla honey come from? A magnificent example of a first-growth California Chardonnay, at a great price.",32.0,96,0,0.9689595419023359
51783,Boekenoogen 2012 Estate Chardonnay (Santa Lucia Highlands),"This family-run vineyard and winery continues to excite, delivering delicious, broadly appealing aromas of caramelized yellow pears with a cinnamon-butter glaze, honey-laced pineapple and lemon soda. The creamy mouthfeel carries flavors of yellow cake, lemon custard and warm peach, yet candied grapefruit peel carves a sharp line down the middle.",36.0,93,0,0.9689588660203361
77372,Sextant 2015 Chardonnay (Central Coast),"It's hard to find Chardonnays priced at less than $20 that pack this much interest. This bottling offers fresh-squeezed underripe tangerine, lemon blossoms, lemon curd, crisp Gala apple, sharp grapefruit skin and a bit of butter on the nose. A salty lemon butter and marmalade flavor show on the palate, along with pear, apple and nectarine, framed by intense acidity.",16.0,90,0,0.9689562685910124
67148,Limited by Cambridge Cellars 2014 Chardonnay (Central Coast),"Quite a solid wine for less than $20, this bottling shows yellow apple, nectarine, peach blossom, sea salt, lemon and a touch of slate on the nose. Buttered-pear flavors show on the fleshy palate, with lemon zest, white peach, more sea salt and hints of nuts and vanilla.",16.0,88,0,0.9678533631012521
97374,Testarossa 2015 Soberanes Vineyard Chardonnay (Santa Lucia Highlands),"Very broad but also complete and elegant aromas show on this bottling, including Asian pear, yellow apple, Meyer lemon, wet stone and a touch of browned butter. The mouthfeel is very tense though not overly sharp in acidity, with lemon and key lime citrus. That tension holds deep into the sip.",49.0,92,0,0.9678504992102882
73038,Airfield Estates 2011 Lightning White (Yakima Valley),"Lightning is a Rhône-style white, half Viognier and half Roussanne, with a splash of Marsanne. In this vintage, the alcohol drops down below 13%, to good effect. Barrel fermentation has brought a lovely creaminess to both texture and flavors. It's a mix of stone and light tropical fruits, especially pineapple, peach and green banana, with highlights of toast and a streak of vanilla.",18.0,89,0,0.9678503300413336
