,title,description,price,points,cluster_label,cosine_similarity,price_bin
47161,Koyle 2013 Royale Los Lingues Vineyard Cabernet Sauvignon (Colchagua Valley),"Spicy aromas of balsam wood, tobacco and sawmill work well with ripe but reserved red-berry scents. Tight, tannic but also fresh as opposed to drying, this Cabernet from a cool year delivers a classic set of herbal berry, plum and wood spice flavors. A ripped finish is dry and oaky now, with core fruit resting for the future. Drink 2018–2028.",26.0,92,4,0.41106620875232497,20-40
4627,Koyle 2013 Royale Los Lingues Vineyard Cabernet Sauvignon (Colchagua Valley),"Spicy aromas of balsam wood, tobacco and sawmill work well with ripe but reserved red-berry scents. Tight, tannic but also fresh as opposed to drying, this Cabernet from a cool year delivers a classic set of herbal berry, plum and wood spice flavors. A ripped finish is dry and oaky now, with core fruit resting for the future. Drink 2018–2028.",26.0,92,4,0.41106620875232497,20-40
88744,Pujanza 2009  Rioja,"Dry, earthy plum and berry aromas are attractive and unadulterated. This feels alert, with a refined texture and full tannins supporting red plum and raspberry fruit. A structured, mildly tannic finish tastes peppery and a bit woody, all good signs for the future. Drink through 2019.",30.0,92,4,0.4317422223838459,20-40
53578,CVNE 2012 Viña Real Reserva  (Rioja),"Compact, almost gritty aromas of tree bark and herbal berry fruits require time to breathe. After necessary airing, this is elegant and fresh on the palate, but full in body. Herbal plum and berry flavors are leathery, spicy and suggest tomato as this transitions to a firm, racy finish. Drink through 2020.",32.0,92,4,0.42978024909434426,20-40
96963,Resalte 2010 Crianza  (Ribera del Duero),"Calm aromas of plum, berry fruits and dried spices are composed. This feels solid and ripe, but also energetic. Flavors of chocolaty oak, mocha, baked plum and ripe berry fruits finish with lasting notes of clove and wood spice. Drink through 2022.",35.0,92,4,0.46611349479252484,20-40
39217,Bodegas Riojanas 2009 Monte Real Gran Reserva  (Rioja),"Aromas of roasted earth, leather and fine oak are more out-front than berry fruit, and that's the way it should be for a Gran Reserva. This feels bold, lively and still a touch bumpy. Chocolaty oak and vanilla notes rest comfortably on top of ripe berry and black-plum flavors, while the finish is persistently earthy and chocolaty. Drink through 2028.",37.0,93,4,0.39711439047907127,20-40
80511,Valquejigoso 2010 DV Red (Spain),"The vineyards to the immediate south of Madrid rarely produce wines like this, which is a blend based on Cabernet Sauvignon. Fully toasted, creamy aromas of fine oak accent plum and berry scents entice the nose, while this feels fresh, fruity and structured. Saucy plum and berry flavors deliver a savory aftertaste, while the finish impresses via exquisite balance, elegant dryness and spicy fruit flavors. Drink through 2022.",39.0,93,4,0.3877539982718006,20-40
50130,Proelio 2012 Cepa a Cepa  (Rioja),"Smoky, charred aromas of leathery berry fruits and coffee are staunch and potent. Matching the nose, this feels plump and full in body and soul. Earthy cherry and berry flavors come with a hint of herbal plum. On the finish, this rises up, beats its chest, and shows gravitas and fine oak. Drink through 2024.",40.0,92,4,0.49442481903154234,20-40
46514,Santa Rita 2008 Triple C Red (Maipo Valley),"Dry, leafy, herbal aromas come with berry power and spice. Triple C stands for Cabernets Franc and Sauvignon as well as Carmenère. This is a wide load on the palate, with smooth tannins and savory, roasted berry flavors that lead to a finish boasting chocolate, leather, spice and baked berry notes. Drink through 2017.",40.0,92,4,0.4435473895511563,20-40
14477,Arrocal 2012 Selección  (Ribera del Duero),"This wine's compact, lightly toasted berry aromas are reticent but also slyly complex. The palate is packed with firm, abrasive tannins. Dark berry, spice, toast and chocolate flavors finish long and harmonious, with equal amounts of herbal, exotic, oak and berry flavors. Drink through 2026.",42.0,92,4,0.39843493821712983,above 40
113233,Contino 2010 Reserva  (Rioja),"Earthy notes of plum and berry include a touch of leafy herbs. This is crisp, elegant and slightly tomatoey in feel, with dry herbal plum and berry flavors that end fresh and savory. There's nothing over the top about this classic Rioja. Drink through 2024.",48.0,92,4,0.44321562350584764,above 40
52590,Neyen 2010 Carmenère-Cabernet Sauvignon (Colchagua Valley),"Tasted side-by-side with the Neyen 2009, this younger wine is more vital and strapping. Spicy aromas of herbal berry and cassis come with a tree-bark accent. This is well cut but delivers good body and weight, while flavors of herbal plum and berry are spicy and finish earthy and loamy. Drink through 2020.",50.0,92,4,0.4307562334389659,above 40
23676,Mas d'en Gil 2010 Clos Fontà Grenache-Carignan (Priorat),"Pure but restrained violet, plum and berry aromas are on the money. This feels racy but also saturated, with kick as well as commendable overall balance. Flavors of plum, ripe tomato, schist and spice finish smooth, peppery, herbal and slightly warm, with a note of coffee. Drink through 2022.",60.0,93,4,0.3841741967457303,above 40
87419,Casa Donoso 2009 D Red (Maule Valley),"High-toned aromas of raspberry and plum come with herbal, olive accents that are entirely normal for Chilean Bordeaux-style blends. This feels fresh and agile on the palate, with raspberry, cherry, plum and berry flavors offset by herb, mint and tobacco notes. An elegant feel and herbal shadings define the finish on this ready-to-drink blend of Cabernet Sauvignon, Carmenère, Malbec and Cab Franc.",70.0,92,4,0.4297921007136469,above 40
47167,Ventisquero 2012 Enclave Cabernet Sauvignon (Maipo Valley),"Earthy aromas include herbal notes, a hint of tomato sauce, asphalt and dusty berry fruits. This has a raw tannic exterior but is softer in the middle. Flavors of saucy, herbal plum and blackberry come with notes of tobacco and olive, while this is drawing and gritty on the finish, with a roasted quality. Drink through 2024.",75.0,92,4,0.3940748060964194,above 40
